City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tocopilla,CL,2020-10-31 20:46:02,-22.09,-70.2,67.78,49,20,7.14
1,Nabire,ID,2020-10-31 20:46:02,-3.37,135.48,76.26,88,97,2.84
2,Barrow,US,2020-10-31 20:46:02,71.29,-156.79,24.8,68,75,10.29
3,Cidreira,BR,2020-10-31 20:46:02,-30.18,-50.21,65.1,68,60,9.71
4,Vaini,TO,2020-10-31 20:46:02,-21.2,-175.2,75.2,83,75,11.41
5,Cockburn Town,TC,2020-10-31 20:46:02,21.46,-71.14,86.0,66,40,11.41
6,Hilo,US,2020-10-31 20:43:13,19.73,-155.09,86.0,58,40,9.17
7,Valparaiso,CL,2020-10-31 20:46:02,-33.04,-71.63,59.0,100,90,4.7
8,Hasaki,JP,2020-10-31 20:46:02,35.73,140.83,42.8,93,40,2.24
9,Rikitea,PF,2020-10-31 20:46:02,-23.12,-134.97,75.47,68,0,6.04
10,Ushuaia,AR,2020-10-31 20:42:28,-54.8,-68.3,55.4,58,90,9.17
11,Bredasdorp,ZA,2020-10-31 20:46:03,-34.53,20.04,59.0,77,0,5.82
12,Lebu,CL,2020-10-31 20:46:03,-37.62,-73.65,58.46,71,0,9.17
13,Klaksvik,FO,2020-10-31 20:42:28,62.23,-6.59,48.2,100,90,8.05
14,Plettenberg Bay,ZA,2020-10-31 20:46:03,-34.05,23.37,57.88,83,4,5.26
15,Mataura,NZ,2020-10-31 20:46:04,-46.19,168.86,57.0,66,20,7.0
16,Punta Arenas,CL,2020-10-31 20:42:19,-53.15,-70.92,59.0,58,75,19.46
17,Yellowknife,CA,2020-10-31 20:46:04,62.46,-114.35,21.2,92,90,16.11
18,New Norfolk,AU,2020-10-31 20:42:19,-42.78,147.06,53.01,70,25,1.81
19,Inuvik,CA,2020-10-31 20:46:04,68.35,-133.72,1.4,84,90,1.12
20,Chudovo,RU,2020-10-31 20:46:04,59.12,31.68,39.6,85,42,2.3
21,Busselton,AU,2020-10-31 20:45:40,-33.65,115.33,60.01,78,100,4.07
22,Luderitz,NA,2020-10-31 20:46:04,-26.65,15.16,66.29,42,28,21.61
23,Upernavik,GL,2020-10-31 20:42:27,72.79,-56.15,16.23,96,92,14.43
24,Talnakh,RU,2020-10-31 20:46:04,69.49,88.4,19.4,92,90,29.08
25,East London,ZA,2020-10-31 20:46:04,-33.02,27.91,64.8,72,100,10.63
26,Santa Rosa,PH,2020-10-31 20:46:04,14.31,121.11,78.8,78,75,3.36
27,Nome,US,2020-10-31 20:46:05,64.5,-165.41,12.2,85,1,7.67
28,Kapaa,US,2020-10-31 20:42:17,22.08,-159.32,82.99,65,1,8.05
29,Danielskuil,ZA,2020-10-31 20:46:05,-28.19,23.54,59.04,83,57,18.19
30,Satao,PT,2020-10-31 20:42:05,40.74,-7.73,61.0,91,96,1.66
31,Tilichiki,RU,2020-10-31 20:46:05,60.47,166.1,24.62,97,97,8.28
32,Narsaq,GL,2020-10-31 20:46:05,60.92,-46.05,23.0,73,40,1.03
33,Tura,IN,2020-10-31 20:46:05,25.52,90.22,71.58,95,100,0.98
34,Shingu,JP,2020-10-31 20:46:05,33.73,135.98,55.02,71,20,5.68
35,Vila Velha,BR,2020-10-31 20:46:05,-20.33,-40.29,71.6,94,90,8.05
36,Bluff,NZ,2020-10-31 20:46:06,-46.6,168.33,57.0,66,96,7.0
37,Qaanaaq,GL,2020-10-31 20:46:06,77.48,-69.36,8.53,83,83,6.02
38,Kodiak,US,2020-10-31 20:46:06,57.79,-152.41,35.6,47,1,10.29
39,Pevek,RU,2020-10-31 20:46:06,69.7,170.31,13.3,96,62,11.97
40,Victoria,HK,2020-10-31 20:46:06,22.29,114.16,73.0,78,93,3.0
41,Imbituba,BR,2020-10-31 20:46:06,-28.24,-48.67,66.2,68,75,3.36
42,Longyearbyen,SJ,2020-10-31 20:46:06,78.22,15.64,23.0,73,75,10.29
43,Sundsvall,SE,2020-10-31 20:46:06,62.39,17.31,42.8,93,95,1.12
44,Castro,BR,2020-10-31 20:42:18,-24.79,-50.01,57.78,83,84,8.23
45,Thompson,CA,2020-10-31 20:46:06,55.74,-97.86,19.4,67,75,17.22
46,Mahebourg,MU,2020-10-31 20:46:07,-20.41,57.7,66.2,82,40,5.82
47,Sarangani,PH,2020-10-31 20:42:28,5.4,125.46,80.64,82,100,15.66
48,Puerto Ayora,EC,2020-10-31 20:42:16,-0.74,-90.35,77.0,73,75,23.04
49,Bonavista,CA,2020-10-31 20:46:07,48.65,-53.11,35.01,85,100,5.82
50,Chuy,UY,2020-10-31 20:46:07,-33.7,-53.46,60.96,70,8,7.27
51,Yulara,AU,2020-10-31 20:46:07,-25.24,130.99,66.2,26,0,8.05
