City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Sakaiminato,JP,60.8,35.55,133.23,味処・民宿 まつや
1,Coquimbo,CL,55.4,-29.95,-71.34,Hotel San Juan
2,Rikitea,PF,74.62,-23.12,-134.97,Pension Maro'i
3,Atuona,PF,77.47,-9.8,-139.03,Villa Enata
4,Khash,IR,40.87,28.22,61.22,دفتر پیشخوان دولت جمال زهی (خالد)
5,East London,ZA,65.43,-33.02,27.91,Tu Casa
6,Barrow,US,28.4,71.29,-156.79,King Eider Inn
7,Bambous Virieux,MU,69.8,-20.34,57.76,Casa Tia Villa
8,General Roca,AR,89.6,-39.03,-67.58,Hotel El Recreo
9,Lata,PT,66.0,40.16,-8.33,Casa Maquia
10,Aquiraz,BR,80.6,-3.9,-38.39,Hotel Laguna Blu
11,Kruisfontein,ZA,64.0,-34.0,24.73,Oyster Bay House Rental
12,Jamestown,US,34.0,42.1,-79.24,Hampton Inn & Suites Jamestown
13,Nakonde,ZM,62.15,-9.34,32.74,Masahani Inn Hotel
14,Hobart,AU,64.99,-42.88,147.33,St Ives Hobart Accommodation Tasmania
15,Kodiak,US,32.0,57.79,-152.41,Best Western Kodiak Inn and Convention Center
16,Port Alfred,ZA,64.87,-33.59,26.89,The Halyards Hotel
17,Zavodskoy,RU,37.4,43.46,132.29,
18,Carnarvon,AU,68.0,-24.87,113.63,Hospitality Carnarvon
19,Meulaboh,ID,75.92,4.14,96.13,Kost Pria
20,Christchurch,NZ,57.2,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
21,Camacha,PT,66.2,33.08,-16.33,Hotel Porto Santo & Spa
22,Husavik,IS,37.4,66.04,-17.34,Bjarnabúð
23,Bluff,NZ,54.0,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
24,Te Anau,NZ,55.76,-45.42,167.72,Kingsgate Hotel Te Anau
25,Saskylakh,RU,-10.08,71.92,114.08,
26,Ushuaia,AR,59.0,-54.8,-68.3,Albatros Hotel
