city ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sakaiminato,JP,11/1/2020,35.55,133.23,60.8,87,75,9.17
1,Coquimbo,CL,11/1/2020,-29.95,-71.34,55.4,82,75,12.75
2,Rikitea,PF,11/1/2020,-23.12,-134.97,74.62,85,86,22.84
3,Atuona,PF,11/1/2020,-9.8,-139.03,77.47,79,68,15.12
4,Khash,IR,11/1/2020,28.22,61.22,40.87,61,0,2.15
5,East London,ZA,11/1/2020,-33.02,27.91,65.43,83,73,14.47
6,Barrow,US,11/1/2020,71.29,-156.79,28.4,79,90,19.46
7,Bambous Virieux,MU,11/1/2020,-20.34,57.76,69.8,68,40,9.17
8,General Roca,AR,11/1/2020,-39.03,-67.58,89.6,25,0,3.36
9,Lata,PT,11/1/2020,40.16,-8.33,66,92,97,0.69
10,Aquiraz,BR,11/1/2020,-3.9,-38.39,80.6,83,20,6.93
11,Kruisfontein,ZA,11/1/2020,-34,24.73,64,82,26,1.99
12,Jamestown,US,11/1/2020,42.1,-79.24,34,97,90,16.11
13,Nakonde,ZM,11/1/2020,-9.34,32.74,62.15,86,68,6.04
14,Hobart,AU,11/1/2020,-42.88,147.33,64.99,67,75,10.29
15,Kodiak,US,11/1/2020,57.79,-152.41,32,85,90,10.29
16,Port Alfred,ZA,11/1/2020,-33.59,26.89,64.87,86,26,18.48
17,Zavodskoy,RU,11/1/2020,43.46,132.29,37.4,59,0,6.71
18,Carnarvon,AU,11/1/2020,-24.87,113.63,68,72,40,16.11
19,Meulaboh,ID,11/1/2020,4.14,96.13,75.92,88,100,1.66
20,Christchurch,NZ,11/1/2020,-43.53,172.63,57.2,71,100,9.17
21,Camacha,PT,11/1/2020,33.08,-16.33,66.2,82,20,3.36
22,Husavik,IS,11/1/2020,66.04,-17.34,37.4,55,90,5.82
23,Bluff,NZ,11/1/2020,-46.6,168.33,54,65,91,15.01
24,Te Anau,NZ,11/1/2020,-45.42,167.72,55.76,48,90,0.89
25,Saskylakh,RU,11/1/2020,71.92,114.08,-10.08,88,75,10.36
26,Ushuaia,AR,11/1/2020,-54.8,-68.3,59,54,75,18.34
27,Yovon,TJ,11/1/2020,38.31,69.04,42.8,45,98,4.03
28,Vaini,TO,11/1/2020,-21.2,-175.2,78.8,78,75,12.75
29,Constitucion,CL,11/1/2020,-35.33,-72.42,54.3,85,61,6.38
30,Uvarovka,RU,11/1/2020,55.53,35.61,40.21,95,100,7.23
31,Nouadhibou,MR,11/1/2020,20.93,-17.03,78.8,41,100,13.87
32,Ishigaki,JP,11/1/2020,24.34,124.16,75.2,83,75,11.41
33,Saint-Philippe,RE,11/1/2020,-21.36,55.77,69.8,60,75,8.05
34,Vikulovo,RU,11/1/2020,56.82,70.61,31.87,96,98,9.46
35,Bonthe,SL,11/1/2020,7.53,-12.51,79.47,87,0,5.53
36,Iracoubo,GF,11/1/2020,5.48,-53.2,81.91,77,95,10.31
37,Bengkulu,ID,11/1/2020,-3.8,102.27,75.45,88,99,4.56
38,Zhigansk,RU,11/1/2020,66.77,123.37,-0.63,92,88,18.9
39,Beni,CD,11/1/2020,0.5,29.47,61.68,100,84,2.24
40,Mitu,CO,11/1/2020,1.2,-70.17,73.47,98,97,2.21
41,Portsoy,GB,11/1/2020,57.68,-2.69,50,73,97,10
42,Dunedin,NZ,11/1/2020,-45.87,170.5,55.99,58,74,15.01
43,Yellowknife,CA,11/1/2020,62.46,-114.35,16,85,90,14.99
44,Kant,IN,11/1/2020,27.8,79.8,63.32,27,0,5.46
45,Butaritari,KI,11/1/2020,3.07,172.79,81.97,76,23,10.76
46,Cape Town,ZA,11/1/2020,-33.93,18.42,64.4,72,0,8.05
47,Torbay,CA,11/1/2020,47.67,-52.73,37.99,80,20,10.29
48,Tasiilaq,GL,11/1/2020,65.61,-37.64,26.6,86,70,9.17
49,Nizhniy Kislyay,RU,11/1/2020,50.85,40.17,46.71,64,41,11.48
50,Saldanha,ZA,11/1/2020,-33.01,17.94,66.2,63,0,3.36
51,Cockburn Town,TC,11/1/2020,21.46,-71.14,82.4,69,40,11.41
52,Ribeira Grande,PT,11/1/2020,38.52,-28.7,64.44,73,100,16.93
53,Axim,GH,11/1/2020,4.87,-2.24,78.08,90,100,6.85
54,Olga,RU,11/1/2020,43.74,135.29,40.28,70,57,6.6
55,Uni,RU,11/1/2020,57.75,51.49,26.89,97,0,2.28
56,Norman Wells,CA,11/1/2020,65.28,-126.83,6.8,71,20,12.75
57,Hilo,US,11/1/2020,19.73,-155.09,86,58,40,6.93
58,Manakara,MG,11/1/2020,-22.13,48.02,69.85,71,99,3.27
59,Mandera,KE,11/1/2020,3.94,41.87,80.71,65,25,13.06
60,Zhaotong,CN,11/1/2020,27.32,103.72,42.15,79,100,5.75
61,Severo-Kurilsk,RU,11/1/2020,50.68,156.12,42.73,71,1,8.97
62,Albion,US,11/1/2020,42.24,-84.75,33.8,69,75,10.29
63,Haines Junction,CA,11/1/2020,60.75,-137.51,14,56,100,2.24
64,Praia,CV,11/1/2020,14.92,-23.51,78.8,65,20,12.75
65,Busselton,AU,11/1/2020,-33.65,115.33,59,76,72,5.37
66,New Norfolk,AU,11/1/2020,-42.78,147.06,64.99,60,100,1.01
