City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Atuona,-9.8,-139.03,78.15,69,66,14.43,PF,10/30/2020
1,Butaritari,3.07,172.79,82.4,77,27,11.83,KI,10/30/2020
2,Tuy Hoa,13.08,109.3,82.22,80,23,9.35,VN,10/30/2020
3,Novi Pazar,43.14,20.51,47.19,80,92,3.65,RS,10/30/2020
4,Dzerzhinsk,56.24,43.46,35.6,74,20,4.47,RU,10/30/2020
5,Mason City,43.15,-93.2,32,95,90,2.35,US,10/30/2020
6,Bredasdorp,-34.53,20.04,60.8,44,18,9.17,ZA,10/30/2020
7,Hilo,19.73,-155.09,77,88,90,2.01,US,10/30/2020
8,Tautira,-17.73,-149.15,80.6,78,90,3.36,PF,10/30/2020
9,Bengkulu,-3.8,102.27,82.92,71,93,6.11,ID,10/30/2020
10,Roald,62.58,6.13,42.8,75,0,11.41,NO,10/30/2020
11,Hobart,-42.88,147.33,63,67,90,17.22,AU,10/30/2020
12,Dunedin,-45.87,170.5,63,76,100,8.14,NZ,10/30/2020
13,Qaanaaq,77.48,-69.36,5.94,74,40,7.45,GL,10/30/2020
14,Rikitea,-23.12,-134.97,75.38,73,100,4.32,PF,10/30/2020
15,Albany,42.6,-73.97,39,89,100,10.92,US,10/30/2020
16,Hermanus,-34.42,19.23,57,67,43,3,ZA,10/30/2020
17,Ushuaia,-54.8,-68.3,42.8,87,90,6.93,AR,10/30/2020
18,Cape Town,-33.93,18.42,61,54,0,5.82,ZA,10/30/2020
19,Wisconsin Rapids,44.38,-89.82,30.2,63,90,3.36,US,10/30/2020
20,Goma,-1.68,29.22,68.49,76,100,0.58,CD,10/30/2020
21,Oranjemund,-28.55,16.43,57.24,66,0,20.74,NA,10/30/2020
22,New Norfolk,-42.78,147.06,63,62,64,1.01,AU,10/30/2020
23,Aksu,41.12,80.26,56.05,34,98,5.35,CN,10/30/2020
24,Ketchikan,55.34,-131.65,44.6,80,90,11.41,US,10/30/2020
25,Mandalgovi,45.76,106.27,47.66,45,100,22.84,MN,10/30/2020
26,Hashtrud,37.48,47.05,63.19,29,0,1.9,IR,10/30/2020
27,Jamestown,42.1,-79.24,42.01,93,90,11.41,US,10/30/2020
28,Norman Wells,65.28,-126.83,7.92,93,58,3.33,CA,10/30/2020
29,Vaini,-21.2,-175.2,71.6,73,20,10.29,TO,10/30/2020
30,Saint-Philippe,-21.36,55.77,77,50,40,28.86,RE,10/30/2020
31,High Prairie,55.43,-116.49,30.74,95,100,7.61,CA,10/30/2020
32,Makakilo City,21.35,-158.09,80.6,57,75,11.41,US,10/30/2020
33,Tayu,-6.54,111.05,86.27,63,93,8.1,ID,10/30/2020
34,Mahebourg,-20.41,57.7,75.99,49,11,15.99,MU,10/30/2020
35,Hithadhoo,-0.6,73.08,83.35,76,84,11.86,MV,10/30/2020
36,Black River,18.03,-77.85,80.6,88,75,2.24,JM,10/30/2020
37,San Isidro,-12.12,-77.05,61,82,40,11.41,PE,10/30/2020
38,Osorno,-40.57,-73.15,46.4,87,71,3.36,CL,10/30/2020
39,Igarka,67.47,86.58,8.02,94,96,11.86,RU,10/30/2020
40,Zhigansk,66.77,123.37,-8.64,90,100,4.09,RU,10/30/2020
41,Potosi,-19.58,-65.75,42.33,73,33,5.06,BO,10/30/2020
42,At-Bashi,41.17,75.81,36.59,61,2,0.45,KG,10/30/2020
43,Busselton,-33.65,115.33,89.01,19,0,5.14,AU,10/30/2020
44,Vao,-22.67,167.48,73.83,83,82,17.43,NC,10/30/2020
45,Banposh,22.25,84.8,84.52,32,12,5.1,IN,10/30/2020
46,Teguldet,57.31,88.17,32.67,95,100,1.77,RU,10/30/2020
47,Kaeo,-35.1,173.78,64.99,80,100,8.01,NZ,10/30/2020
48,Barsovo,61.17,73.17,33.8,100,75,8.95,RU,10/30/2020
49,Bethel,41.37,-73.41,42.8,87,90,10.29,US,10/30/2020
50,Alyangula,-13.85,136.42,91.4,38,99,8.05,AU,10/30/2020
51,Nanortalik,60.14,-45.24,29.84,92,99,9.98,GL,10/30/2020
52,East London,-33.02,27.91,60.8,67,20,12.75,ZA,10/30/2020
53,Husavik,66.04,-17.34,44.6,70,75,5.82,IS,10/30/2020
54,Chokurdakh,70.63,147.92,-4.52,93,99,1.25,RU,10/30/2020
55,Deputatskiy,69.3,139.9,1.4,95,100,0.83,RU,10/30/2020
56,Sampang,-7.19,113.24,84.76,71,93,10.45,ID,10/30/2020
57,Oriximina,-1.77,-55.87,78.08,79,65,2.42,BR,10/30/2020
58,Kortkeros,61.81,51.58,39.2,100,90,11.18,RU,10/30/2020
59,Tuktoyaktuk,69.45,-133.04,5.54,95,54,5.79,CA,10/30/2020
60,Byron Bay,-28.65,153.62,80.01,73,0,17.22,AU,10/30/2020
61,Seoul,37.57,126.98,66.2,17,1,3.36,KR,10/30/2020
62,Juegang,32.32,121.19,70,1,0,1.01,CN,10/30/2020
63,Morro Bay,35.37,-120.85,57,81,1,3.65,US,10/30/2020
64,Khudumelapye,-23.88,24.75,78.96,20,18,13.2,BW,10/30/2020
65,Mataura,-46.19,168.86,59,93,100,3,NZ,10/30/2020
66,Rocha,-34.48,-54.33,46.54,89,44,4.56,UY,10/30/2020
